symbol	start_line	end_line	target_file
TypeSpecRampModel	149	224	index
_uniqueKey	225	255	shared
_BaseTreeEditor	256	772	tree-editor
TypeSpecTreeEditor	773	802	tree-editor
UIFontLabel	803	834	type-spec-properties
_excludesTypeSpecPPSMap	835	839	pps-maps
getTypeSpecPPSMap	840	885	pps-maps
_excludesNodeSpecPPSMap	886	889	pps-maps
getNodeSpecPPSMap	890	930	pps-maps
TYPESPEC_PPS_MAP	931	959	pps-maps
_NOTDEF	960	963	defaults
_getFallback	964	975	defaults
typeSpecGetDefaults	976	1047	defaults
getRequireUpdateDefaultsFn	1048	1058	defaults
nodeSpecGetDefaults	1059	1067	defaults
TypeSpecPropertiesManager	1068	1339	type-spec-properties
UICompositeStylePatchItem	1340	1369	style-patches
UICompositeStylePatch	1370	1410	style-patches
UIStylePatch	1411	1576	style-patches
_BaseByPathContainerComponent	1577	1692	shared
StylePatchPropertiesManager	1693	1754	style-patches
NodeSpecPropertiesManager	1755	1826	node-specs
SimpleSelect	1827	1842	style-patches
MapSelectButton	1843	1874	shared
UIStylePatchesMap	1875	1975	style-patches
UINodeSpecMap	1976	2054	node-specs
SyntheticValue	2055	2073	synthetic-values
mapSetProperties	2074	2083	type-specnion
LocalScopeTypeSpecnion	2084	2207	type-specnion
_BaseTypeSpecnion	2208	2268	type-specnion
PatchedTypeSpecnion	2269	2309	type-specnion
HierarchicalScopeTypeSpecnion	2310	2455	type-specnion
pathSpecPathsGen	2456	2468	synthetic-values
pathSpecValuesGen	2469	2486	synthetic-values
PATH_SPEC_AUTO_LINEAR_LEADING	2487	2497	synthetic-values
_fillTreeGetNodeFromRegistry	2498	2514	synthetic-values
fillTreeFromPaths	2515	2532	synthetic-values
AutoLinearLeadingSyntheticValue	2533	2568	properties-generators
leadingGen	2569	2615	properties-generators
fontGen	2616	2630	properties-generators
baseFontSizeGen	2631	2644	properties-generators
fontSizeGen	2645	2686	properties-generators
axisLocationsGen	2687	2744	properties-generators
openTypeFeaturesGen	2745	2754	properties-generators
languageTagGen	2755	2786	properties-generators
createMargin	2787	2800	properties-generators
marginsGen	2801	2824	properties-generators
calculateFontAxisValueSynthetic	2825	2860	properties-generators
axesMathAxisLocationValueGen	2861	2880	properties-generators
axisMathLocationsGen	2881	2908	properties-generators
REGISTERED_GENERIC_TYPESPEC_FIELDS	2909	2959	properties-generators
TypeSpecLiveProperties	2960	3086	live-properties
StylePatchSourceLiveProperties	3087	3210	live-properties
StyleLinkLiveProperties	3211	3282	live-properties
StylePatchSourcesMeta	3283	3325	meta
TypeSpecChildrenMeta	3326	3380	meta
StyleLinksMeta	3381	3440	meta
TypeSpecMeta	3441	3495	meta
GenericUpdater	3496	3512	prosemirror
UIDocumentTextRun	3513	3713	prosemirror
UIDocumentElementTypeSpecDropTarget	3714	3744	prosemirror
ProseMirrorGeneralDocumentStyler	3745	3788	prosemirror
UIDocumentElement	3789	3930	prosemirror
UIDocumentNode	3931	4002	prosemirror
UIDocumentNodes	4003	4176	prosemirror
UIDocument	4177	4216	prosemirror
ProseMirrorContext	4217	4281	prosemirror
_skipPrefix	4282	4297	defaults
_skipFullKey	4298	4300	defaults
_getTypeSpecDefaultsMap	4301	4361	defaults
TypeSpecRampController	4362	4699	index
